sku_id,product_category,fabric_type,color,size_run,std_sam_minutes_sew,pack_units_per_carton
SKU0001,Dress,Poly_Spandex,Red,core,24.34,24
SKU0002,Tee,Nylon_Taffeta,Red,extended,11.75,24
SKU0003,Sweatpant,Poly_Spandex,Blue,core,19.86,24
SKU0004,Tee,Ripstop,White,extended,14.15,36
SKU0005,Legging,Nylon_Taffeta,Navy,core,25.08,12
SKU0006,Jacket,French_Terry,White,core,25.25,36
SKU0007,Dress,Cotton_Jersey,Navy,extended,18.67,24
SKU0008,Hoodie,French_Terry,Sand,core,23.12,12
SKU0009,Polo,Fleece,Sand,extended,14.71,24
SKU0010,Short,Cotton_Jersey,White,core,29.47,24
SKU0011,Short,Cotton_Jersey,Red,core,22.81,24
SKU0012,Legging,Ripstop,Black,core,19.69,24
SKU0013,Polo,Cotton_Jersey,White,core,17.4,24
SKU0014,Dress,Cotton_Jersey,Olive,core,22.79,24
SKU0015,Polo,French_Terry,White,core,20.18,24
SKU0016,Jacket,Fleece,White,core,22.06,24
SKU0017,Jacket,Cotton_Jersey,Grey,core,19.88,24
SKU0018,Tee,Poly_Spandex,Black,extended,7.01,24
SKU0019,Hoodie,Fleece,Blue,extended,20.22,24
SKU0020,Hoodie,Cotton_Jersey,Black,core,20.3,12
SKU0021,Legging,Fleece,Olive,extended,19.03,24
SKU0022,Dress,Ripstop,Grey,core,22.11,24
SKU0023,Tee,Fleece,Grey,core,13.1,24
SKU0024,Tee,Fleece,Black,core,6.06,36
SKU0025,Short,Poly_Spandex,Navy,core,25.18,36
SKU0026,Jacket,Poly_Spandex,Red,core,26.19,24
SKU0027,Sweatpant,Cotton_Jersey,Olive,core,11.34,24
SKU0028,Jacket,Nylon_Taffeta,Grey,extended,21.3,36
SKU0029,Tee,French_Terry,Olive,core,6.0,24
SKU0030,Dress,Fleece,Sand,core,22.65,36
